file,kind,word,suggestions,context,decision
content/archive/dti2018.md,us-spelling,organized,organised,the Internet (DTI) Conference” that was organized by Whose Knowledge? co-locating with Wi,
content/archive/dti2018.md,us-spelling,organized,organised,"ectives in this space, Whose Knowledge? organized the panel “ Centering Knowledge from th",
content/film/gyani-maiya.md,us-spelling,immortalizes,immortalises; immortalizems,e.“  —Himal Khabar       “Preserves and immortalizes a language on the brink of extinction.“,
content/podcast/episode1.md,us-spelling,kilometers,kilometres; kilometre's; kilo meters,"paolo Di Carlo  researched. In 10 by 10 kilometers radius live 10-12,000 people that speak",
content/podcast/episode5.md,us-spelling,globalization,globalisation,Zubair. “ Countering the challenges of globalization faced by endangered languages of North,
content/podcast/episode6.md,us-spelling,program,,"iors. So in ’98, we set up a bachelor’s program in photography, one of the first in the",
content/tool/pronunciation.md,us-spelling,digitize,digitise,"Odia Wikisource turns two, a project to digitize rare books kicks off; news in brief “.",
content/about/policies.md,typo,achmad,Ahmad; ahmad; ached,"ome Images. CC-BY-4.0 - Mic, Privacy by achmad mulyana from the Noun Project - Mobile",
content/about/policies.md,typo,mulyana,mullein; mullion,"ges. CC-BY-4.0 - Mic, Privacy by achmad mulyana from the Noun Project - Mobile by Adrie",
content/archive/creative-commons-summit-2019-openspeaks.md,typo,indigenouslanguages,indigenous languages; indigenous-languages,Room    ccsummit       ccsummit2019     indigenouslanguages     iyil2019      — OpenSpeaks    May 1,
content/archive/global-voices-apac-summit-2019.md,typo,digitalfreedom,digital freedom; digital-freedom,"n reza    June 2, 2019        India     digitalfreedom     freedomofexpression     gvapsummit2",
content/archive/global-voices-apac-summit-2019.md,typo,freedomofexpression,,019        India     digitalfreedom     freedomofexpression     gvapsummit2019        — Emma Lewis,
content/archive/global-voices-apac-summit-2019.md,typo,freedomofspeech,,ing people to suppress their views      freedomofspeech     gvapsummit2019      — Global Voices,
content/archive/it-took-us-13-years-to-celebrate-software-freedom-day-in-bhubaneswar-we-are-not-looking-back.md,typo,acronymed,acronym; acronyms; acronymic,roof.      Software Freedom Day  (often acronymed as SFD) is a worldwide celebration to m,
